state,territory,concat,grade,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
CT,All,CTAll,3,0.94,0.94,1,1,0.94,0.94
VT,All,VTAll,6,0.97,0.97,1,1,0.97,0.97
WA,All,WAAll,2,0.94,0.94,1,1,0.94,0.94
ID,All,IDAll,3,0.94,0.94,1,1,0.94,0.94
KS,All,KSAll,9,0.99,0.99,1,1,0.99,0.99
KS,All,KSAll,2,0.94,0.94,1,1,0.94,0.94
MA,All,MAAll,1,0.94,0.94,1,1,0.94,0.94
PA,All,PAAll,7,0.97,0.97,1,1,0.97,0.97
VA,All,VAAll,9,0.99,0.99,1,1,0.99,0.99
PA,All,PAAll,5,0.97,0.97,1,1,0.97,0.97
MO,All,MOAll,8,0.99,0.99,1,1,0.99,0.99
ME,All,MEAll,4,0.97,0.97,1,1,0.97,0.97
MN,All,MNAll,10,1,1,1,1,1,1
LA,All,LAAll,2,0.94,0.94,1,1,0.94,0.94
CA,All,CAAll,2,0.94,0.94,1,1,0.94,0.94
NV,All,NVAll,6,0.97,0.97,1,1,0.97,0.97
MS,All,MSAll,6,0.97,0.97,1,1,0.97,0.97
NY,All,NYAll,10,1,1,1,1,1,1
TN,All,TNAll,10,1,1,1,1,1,1
NH,All,NHAll,5,0.97,0.97,1,1,0.97,0.97
ND,All,NDAll,Ungraded,1,1,1,1,1,1
NC,All,NCAll,4,0.97,0.97,1,1,0.97,0.97
OK,All,OKAll,Ungraded,1,1,1,1,1,1
ME,All,MEAll,6,0.97,0.97,1,1,0.97,0.97
HI,All,HIAll,5,0.97,0.97,1,1,0.97,0.97
WY,All,WYAll,1,0.94,0.94,1,1,0.94,0.94
CT,All,CTAll,5,0.97,0.97,1,1,0.97,0.97
MI,All,MIAll,1,0.94,0.94,1,1,0.94,0.94
OR,All,ORAll,8,0.99,0.99,1,1,0.99,0.99
NH,All,NHAll,9,0.99,0.99,1,1,0.99,0.99
WV,All,WVAll,2,0.94,0.94,1,1,0.94,0.94
NY,All,NYAll,6,0.97,0.97,1,1,0.97,0.97
WA,All,WAAll,6,0.97,0.97,1,1,0.97,0.97
KY,All,KYAll,2,0.94,0.94,1,1,0.94,0.94
TX,All,TXAll,9,0.99,0.99,1,1,0.99,0.99
AR,All,ARAll,6,0.97,0.97,1,1,0.97,0.97
LA,All,LAAll,6,0.97,0.97,1,1,0.97,0.97
CA,All,CAAll,7,0.97,0.97,1,1,0.97,0.97
MA,All,MAAll,5,0.97,0.97,1,1,0.97,0.97
AR,All,ARAll,5,0.97,0.97,1,1,0.97,0.97
AZ,All,AZAll,9,0.99,0.99,1,1,0.99,0.99
TX,All,TXAll,Ungraded,1,1,1,1,1,1
MA,All,MAAll,9,0.99,0.99,1,1,0.99,0.99
WY,All,WYAll,7,0.97,0.97,1,1,0.97,0.97
DE,All,DEAll,3,0.94,0.94,1,1,0.94,0.94
WA,All,WAAll,10,1,1,1,1,1,1
NV,All,NVAll,10,1,1,1,1,1,1
WV,All,WVAll,5,0.97,0.97,1,1,0.97,0.97
FL,All,FLAll,3,0.94,0.94,1,1,0.94,0.94
WY,All,WYAll,6,0.97,0.97,1,1,0.97,0.97
CA,All,CAAll,4,0.97,0.97,1,1,0.97,0.97
CO,All,COAll,3,0.94,0.94,1,1,0.94,0.94
AK,All,AKAll,1,0.94,0.94,1,1,0.94,0.94
GA,All,GAAll,10,1,1,1,1,1,1
DC,All,DCAll,Ungraded,1,1,1,1,1,1
FL,All,FLAll,10,1,1,1,1,1,1
NJ,All,NJAll,7,0.97,0.97,1,1,0.97,0.97
UT,All,UTAll,8,0.99,0.99,1,1,0.99,0.99
IA,All,IAAll,1,0.94,0.94,1,1,0.94,0.94
CA,All,CAAll,9,0.99,0.99,1,1,0.99,0.99
