classCode,ratePremOps,rateProdCops,hrPremOp,hrProdCOps,code,premiumBase
96703,13.8,1.0,3/A,–,p,1000
98309,6.16,2.29,0,0,p,1000
10205,0.37,0,0,0,s,1000
44113,1.04,1.0,2/A,–,o,1000
10020,6.52,1.0,2/B,0,s,1000
51986,0.193,0.075,0,0,s,1000
40010,1.0,1.0,0,–,t,1
99220,1.7,1.0,–,0,p,1000
91200,0.82,0,0,0,p,1000
60012,54.7,0,0,0,u,1
57257,0.105,0.046,0,0,s,1000
44435,47.2,0,0,0,a,1000
46913,1.0,1.0,0,–,s,1000
91266,9.28,1.01,0,0,p,1000
99798,17.1,1.0,2/A,0,p,1000
59927,0.244,0.88,0,0,s,1000
91130,1.44,0,0,0,p,1000
55597,0.024,1.22,0,0,s,1000
46916,1.0,1.0,0,–,m,1000
10379,11.9,0,0,0,s,1000
11274,19.8,0,0,0,s,1000
43517,1.0,1.0,0,–,t,1
98914,0.77,0.58,0,0,p,1000
40042,1.0,1.0,0,–,s,1000
51941,0.084,0.025,0,0,s,1000
91125,2.61,2.02,0,0,p,1000
95620,1.94,1.0,–,0,p,1000
14101,0.68,0.048,0,0,s,1000
51315,0.138,0.059,0,0,s,1000
52911,0.051,0.35,0,0,s,1000
47318,24.5,0,0,0,s,1000
16906,2.64,0.123,0,0,s,1000
11204,0.46,1.52,0,0,s,1000
94381,5.85,11.4,0,0,p,1000
49333,23.9,0,0,0,t,1
59889,0.065,0.176,0,0,s,1000
53425,0.164,0.32,–,1/A,s,1000
56912,0.117,0.082,0,0,s,1000
98806,2.79,4,0,0,p,1000
14733,0.92,0,0,0,s,1000
91805,0.21,0,0,0,p,1000
58713,0.049,0.51,–,4/A,s,1000
11258,1.81,0.221,0,0,s,1000
98482,3.82,7.13,0,0,p,1000
99111,1.76,0,0,0,p,1000
11007,1.57,0,0,0,s,1000
94617,4.02,0,0,0,p,1000
52967,0.019,0.043,0,0,s,1000
59886,0.02,0.072,0,0,s,1000
44109,1.9,0,0,0,o,1000
10332,43.6,0,0,0,s,1000
52469,0.038,0.083,0,0,s,1000
68500,6.37,0,0,0,u,1
16722,1.4,1.0,1/B,–,s,1000
56758,0.065,0.11,0,0,s,1000
16901,2.52,0.135,0,0,s,1000
99620,0.49,0,0,0,p,1000
40040,1.89,1.0,1/A,–,s,1000
56041,0.068,0.61,–,5/A,s,1000
59905,0.091,0.1,0,0,s,1000
59751,0.032,1.0,–,0,s,1000
43754,118,1.0,3/A,–,t,1
51734,0.111,0.38,0,0,s,1000
96872,5.28,1.0,–,0,p,1000
51956,0.36,0.119,0,0,s,1000
95357,1.44,0,0,0,p,1000
51702,0.143,1.39,–,3/A,s,1000
12014,0.114,0.043,0,0,s,1000
97047,3.32,0,0,0,p,1000
59973,0.147,0.35,–,5/A,s,1000
91583,0.66,1.33,3/D,3/D,c,1000
91606,14.1,0,0,0,p,1000
41667,241,0,0,0,a,1000
98699,5.08,1.0,–,0,p,1000
58409,0.071,0,0,0,s,1000
51999,0.081,0.25,0,0,s,1000
57600,0.05,0.025,0,0,s,1000
41678,55.9,0,0,0,a,1000
10042,0.55,0.37,0,0,s,1000
51551,0.031,0.7,0,0,s,1000
51330,0.092,0.97,0,0,s,1000
12361,0.114,0.063,0,0,s,1000
40115,85.5,1.0,1/A,–,t,1
19061,1.21,1.0,4/A,–,s,1000
58813,0.17,0.3,–,3/A,s,1000
58627,0.187,0.008,0,0,s,1000
59661,0.106,2.06,–,3/A,s,1000
12393,0.59,0.182,–,2/A,s,1000
55214,0.097,0.062,0,0,s,1000
40075,101,0,0,0,m,1000
95233,3.18,0,0,0,p,1000
98306,6.86,1.02,0,0,p,1000
61223,85.7,0,0,0,a,1000
63215,49.9,0,0,0,a,1000
51305,0.105,0.65,0,0,s,1000
58456,0.038,0,0,0,s,1000
48252,1.0,1.0,0,–,s,1000
16676,0.44,0.015,0,0,s,1000
10151,18.4,0,0,0,s,1000
51380,0.039,0.026,0,0,s,1000
59926,0.36,0.57,0,0,s,1000
57403,0.156,0.025,0,0,s,1000
10256,1.01,0.154,0,0,s,1000
56042,0.086,0.8,–,3/A,s,1000
59988,0.036,0.041,0,0,s,1000
51850,0.223,0.74,–,1/A,s,1000
65007,30.4,0,0,0,a,1000
97220,0.39,1.01,–,1/A,p,1000
48441,0.34,0,0,0,t,1
16916,2.01,0.071,0,0,s,1000
59798,0.29,0.29,0,0,s,1000
59058,0.33,0.46,–,3/A,s,1000
16404,1.67,0,0,0,s,1000
58560,0.045,1.0,–,0,s,1000
16527,0.173,0.222,0,0,s,1000
99315,10.3,2.26,0,0,p,1000
55649,0.026,0.159,–,1/A,s,1000
10070,0.092,0.094,0,0,s,1000
59985,0.158,0.34,–,3/A,s,1000
58457,0.055,0,0,0,s,1000
59783,0.111,2.52,–,1/A,s,1000
57913,0.132,0.182,0,0,s,1000
15656,9.33,0,0,0,s,1000
59947,0.075,0.214,0,0,s,1000
62001,10.5,0,0,0,a,1000
47367,0.236,0,0,0,p,1000
57611,0.086,0.036,0,0,s,1000
56806,0.088,1.99,–,2/A,s,1000
59867,0.145,1.0,–,0,s,1000
40063,260,0,0,0,m,1000
57401,0.06,0.065,0,0,0,1000
44108,0.75,0,0,0,o,1000
99572,1.32,1.0,–,0,p,1000
46622,10.2,0,0,0,a,1000
45334,111,0,0,0,a,1000
45937,0.43,0,0,0,s,1000
62003,15.1,0,0,0,u,1
98090,0.132,0,0,0,p,1000
11128,0.69,0.077,0,0,s,1000
10111,0.2,0.045,0,0,s,1000
10011,0.038,1.0,–,0,s,1000
10367,3.69,0,0,0,s,1000
52438,0.074,0.5,–,1/A,s,1000
11205,3.92,1.0,3/A,–,s,1000
11168,4.06,0,0,0,s,1000
51254,0.032,0.019,0,0,s,1000
46822,1.0,1.0,0,–,t,1
91150,2,5.91,0,0,p,1000
63011,65.1,0,0,0,t,1
55012,0.119,0.86,0,0,s,1000
57651,0.054,0.039,0,0,s,1000
44430,0.74,0,0,0,s,1000
95358,5.01,1.0,5/A,–,p,1000
61225,37.9,0,0,0,a,1000
14913,0.49,0.154,0,0,s,1000
51116,0.131,0.52,0,0,s,1000
63220,17,1.0,3/A,–,t,1
91210,72.8,1.0,1/A,–,p,1000
53333,0.174,0.215,0,0,s,1000
43215,1.36,1.0,1/A,–,t,1
16902,2.13,0.074,0,0,s,1000
99081,4.8,1.0,5/A,–,p,1000
97050,2.57,0,0,0,p,1000
56900,0.11,1.0,–,0,s,1000
48808,2.39,0,0,0,s,1000
12651,1.14,0.33,0,0,s,1000
12583,0.39,0.36,–,5/A,s,1000
51352,0.217,0.077,0,0,s,1000
63217,117,0,0,0,m,1000
58737,0.121,0.36,0,0,s,1000
99943,9.36,0,0,0,p,1000
98624,1.01,0,0,0,p,1000
44100,2.12,0,0,0,o,1000
60010,28.9,0,0,0,u,1
99975,4.81,0,0,0,p,1000
10145,0.51,0.015,0,0,s,1000
57716,0.053,0.069,0,0,s,1000
47051,7.96,1.0,5/C,–,t,1
99614,2.93,0,0,0,p,1000
59892,0.111,1.68,–,1/A,s,1000
43628,392,0,0,0,t,1
40006,27.5,1.0,5/A,–,t,1
99506,5.96,0,0,0,p,1000
43422,276,0,0,0,m,1000
15123,3.26,0,0,0,s,1000
91481,18.8,0,0,0,p,1000
98705,8.93,0,0,0,p,1000
92446,5.9,2.09,0,0,p,1000
45678,0.26,0,0,0,s,1000
47146,0.64,1.0,4/A,–,s,1000
53803,0.39,1.0,–,0,s,1000
49618,0.225,0.056,0,0,s,1000
91618,1.0,1.0,0,0,p,1000
16009,0.3,0.091,0,0,s,1000
91135,0.4,0.61,–,4/A,p,1000
16900,3.93,0.1,0,0,s,1000
43200,192,0,0,0,a,1000
46911,59.7,0,0,0,s,1000
52581,0.91,1.57,0,0,s,1000
10054,11.4,0,0,0,s,1000
51942,0.134,0,0,0,s,1000
49802,33.1,0,0,0,a,1000
52109,0.018,1.0,–,0,s,1000
98813,3.62,2.09,0,0,p,1000
98555,2.52,0,0,0,p,1000
44072,7.34,0,0,0,s,1000
98160,5.54,1.0,–,0,p,1000
49800,1.0,1.0,0,–,a,1000
51934,0.093,0.066,0,0,s,1000
56917,0.147,1.0,–,0,s,1000
49803,58.6,0,0,0,a,1000
61218,12.1,0,0,0,a,1000
49181,44.5,0,0,0,m,1000
10113,0.53,0,0,0,s,1000
98304,5.51,3.75,0,0,p,1000
59188,0.33,0.039,0,0,s,1000
98344,0.74,0.79,0,0,p,1000
46426,28.5,0,0,0,a,1000
53904,1.0,1.0,0,0,s,1000
18616,0.37,0.42,0,0,s,1000
12374,0.91,0.079,0,0,s,1000
16471,0.228,0,0,0,s,1000
13205,0.44,0.27,0,0,t,1
51927,0.046,0.092,0,0,s,1000
99760,0.28,0,0,0,p,1000
13352,0.44,0.042,0,0,s,1000
98502,5.41,4.17,0,0,p,1000
51252,0.12,0.06,0,0,s,1000
60011,33.3,0,0,0,u,1
16921,4.89,0.055,0,0,s,1000
51230,0.037,0.54,0,0,s,1000
41672,46.5,1.0,5/A,–,t,1
53632,0.033,0.024,0,0,s,1000
91315,3.28,0,0,0,p,1000
55718,0.231,0.239,–,2/A,s,1000
68703,3.86,0,0,0,a,1000
92055,4.96,0.27,0,0,p,1000
47600,0.108,1.0,5/A,–,s,1000
46603,2.39,0,0,0,s,1000
91436,5.13,2.43,0,0,p,1000
11201,13.7,0,0,0,s,1000
41700,375,1.0,1/A,–,t,1
43945,16.4,1.0,2/A,–,t,1
40066,1.5,1.0,1/A,–,t,1
18833,0.18,0.237,–,3/A,s,1000
45819,0.141,0.073,0,0,s,1000
46912,109,0,0,0,s,1000
94590,12.7,0,0,0,p,1000
51201,0.033,1.0,–,0,s,1000
99083,4.8,1.0,5/A,–,p,1000
51240,0.4,0.193,0,0,s,1000
96611,1.09,1.62,0,0,p,1000
19051,2.82,0,0,0,s,1000
49891,2.5,1.0,1/B,–,t,1
91591,0.78,1.24,1/B,1/B,c,1000
99573,1.26,1.0,–,0,p,1000
45224,2.5,1.0,3/A,–,s,1000
97654,5.49,3.31,0,0,p,1000
51857,0.32,1.66,–,3/A,s,1000
64500,23.1,1.0,5/A,–,u,1
44500,0.34,1.0,4/A,–,p,1000
52505,0.187,0.159,0,0,s,1000
11207,8.04,0,0,0,s,1000
13454,0.73,0.147,–,5/B,t,1
46362,195,0,0,0,t,1
91160,1.05,0,0,0,p,1000
98159,2.62,1.0,–,0,p,1000
56427,0.165,0.089,0,0,s,1000
98405,1.22,0,0,0,p,1000
90089,4.34,0,0,0,p,1000
41673,46.5,1.0,5/A,–,t,1
47610,0.108,1.0,5/A,–,s,1000
18991,1.38,1.0,4/B,–,s,1000
94007,11,5.56,0,0,p,1000
91577,12,3.65,0,0,p,1000
68606,7.92,0,0,0,a,1000
16705,0.32,0.09,0,0,s,1000
98158,1.0,1.0,0,0,p,1000
46671,244,1.0,1/D,–,t,1
51355,0.148,0.081,0,0,s,1000
94638,1.0,1.0,0,–,p,1000
40069,1.0,1.0,0,–,t,1
46510,1.0,1.0,0,–,t,1
18206,0.75,0.118,0,0,s,1000
99221,1.0,1.0,0,0,p,1000
10115,1.06,0.085,0,0,s,1000
56488,0.127,0.043,0,0,s,1000
48177,5.01,1.0,4/A,–,s,1000
59925,0.43,1.11,0,0,s,1000
57625,0.44,2.76,–,3/A,s,1000
46604,2.76,0,0,0,s,1000
59057,0.51,0.77,–,4/A,s,1000
59693,0.018,0,0,0,s,1000
91342,4.37,4.17,0,0,p,1000
57871,0.053,0.073,0,0,s,1000
67634,39,0,0,0,a,1000
97501,1.0,1.0,0,–,t,1
59537,0.118,0.207,0,0,s,1000
10132,4.51,0,0,0,s,1000
51959,0.29,0.76,–,2/A,s,1000
91586,1.3,0.8,3/A,1/A,c,1000
99987,1.0,1.0,0,–,p,1000
11248,0.053,0.01,0,0,s,1000
43550,188,0,0,0,a,1000
94569,2.96,4.52,0,0,p,1000
49902,1.0,1.0,0,–,,
91562,3.35,0,0,0,p,1000
41680,14.3,0,0,0,a,1000
91582,0.78,0.68,3/A,3/A,c,1000
51255,0.61,2.12,–,2/A,s,1000
56805,0.125,0.54,–,1/A,s,1000
56651,0.28,1.44,–,4/A,s,1000
41421,0.41,0,0,0,t,1
15124,1.14,0,0,0,s,1000
59932,0.26,0.57,0,0,s,1000
53077,0.09,0.172,0,0,s,1000
98150,7.42,1.0,3/A,–,p,1000
98092,0.44,0,0,0,p,1000
49305,1052,1.0,5/A,–,t,1
58301,0.056,0.075,0,0,s,1000
11167,0.78,0,0,0,s,1000
51554,0.009,0.4,–,4/A,s,1000
44437,45.7,0,0,0,a,1000
97651,6.98,5.03,0,0,p,1000
51896,0.038,0.013,0,0,s,1000
59724,0.058,0.016,0,0,s,1000
94276,4.62,4.87,0,0,p,1000
43424,4.29,1.0,4/A,–,s,1000
43760,11.1,0,0,0,s,1000
59790,0.129,0.62,–,1/A,s,1000
58009,0.074,0.53,–,2/A,s,1000
10380,20.3,0,0,0,s,1000
13670,0.064,0.022,0,0,s,1000
59774,0.016,0.105,0,0,s,1000
13720,0.77,0.07,0,0,s,1000
49185,104,0,0,0,m,1000
98303,12.3,6.26,0,0,p,1000
91629,2.87,1.8,–,3/A,p,1000
59695,0.063,0.131,4/A,3/A,s,1000
43151,50.5,0,0,0,a,1000
43822,3.46,0,0,0,p,1000
15119,3.82,1.0,3/A,–,s,1000
51250,0.239,0.86,–,3/A,s,1000
51251,0.034,0.93,–,5/A,s,1000
44280,0.236,0,0,0,p,1000
18920,0.68,0.02,0,0,s,1000
97308,0.71,0,0,0,p,1000
47254,1.0,1.0,0,–,t,1
10117,18.5,0,0,0,s,1000
16941,2.68,0.098,0,0,s,1000
95648,6.36,8.16,4/B,4/C,p,1000
10101,0.35,0.136,0,0,s,1000
97111,5.33,0,0,0,p,1000
47474,5.24,0,0,0,t,1
50045,0.219,1.41,–,3/A,s,1000
53732,0.204,0.39,0,0,s,1000
48557,33.5,0,0,0,t,1
51900,0.085,0.085,0,0,s,1000
98623,1.0,1.0,0,–,p,1000
56690,0.066,0.26,0,0,s,1000
18436,1.29,0.168,0,0,s,1000
55011,0.1,1.73,0,0,s,1000
12805,0.48,0.176,0,0,s,1000
40047,41,0,0,0,t,1
45539,0.62,1.0,2/B,–,t,1
98003,0.98,1.0,–,0,p,1000
56915,0.56,0.48,–,4/A,s,1000
52076,0.212,0.71,–,4/A,s,1000
41665,10.3,0,0,0,s,1000
11212,2.17,0,0,0,s,1000
56391,0.103,0.217,0,0,s,1000
51869,0.089,0.102,0,0,s,1000
55013,0.148,1,0,0,s,1000
50047,0.025,1.0,–,0,s,1000
45190,2.78,0,0,0,s,1000
19796,0.53,0,0,0,s,1000
91584,0.93,1,3/A,2/A,c,1000
52435,0.103,0.47,–,4/A,s,1000
44431,2.36,0,0,0,s,1000
98308,1.14,1.04,0,0,p,1000
10130,5.23,0,0,0,s,1000
14401,1.83,0.124,0,0,s,1000
92447,5.15,1.72,0,0,p,1000
98091,0.144,0,0,0,p,1000
14655,0.131,0,0,0,s,1000
91555,1.47,1.13,0,0,p,1000
56980,0.095,1.0,–,0,s,1000
98111,0.62,0,0,0,p,1000
57997,0.095,0,0,0,s,1000
11273,20.6,0,0,0,s,1000
91325,1.0,1.0,0,0,p,1000
99746,2.4,3.65,0,0,p,1000
68607,6.26,0,0,0,a,1000
47468,0.165,1.0,5/A,–,s,1000
59647,0.155,0.118,0,0,s,1000
59989,0.021,0.031,0,0,s,1000
98598,0.194,0,0,0,p,1000
95310,8.25,1.29,0,0,p,1000
98307,1.75,0.57,0,0,p,1000
58922,0.27,0.176,0,0,s,1000
15188,0.38,1.0,–,0,s,1000
51833,0.114,0.034,0,0,s,1000
57726,0.091,0.022,0,0,s,1000
58057,0.102,0.29,–,4/B,s,1000
45191,1.98,0,0,0,s,1000
10140,0.053,0.016,0,0,s,1000
46202,3.54,0,0,0,s,1000
52619,0.064,0.86,–,2/A,s,1000
92453,3.26,0,0,0,p,1000
99600,1.31,0,0,0,p,1000
57998,0.058,0.044,0,0,s,1000
41668,226,0,0,0,a,1000
45900,0.162,0.058,0,0,s,1000
67510,13.5,0,0,0,a,1000
53731,0.03,1.0,–,0,s,1000
98161,6.21,2.09,–,2/A,p,1000
55648,0.022,1.15,–,1/A,s,1000
59713,0.193,0.247,0,0,s,1000
59964,0.54,0.052,0,0,s,1000
10100,1.51,0.07,0,0,s,1000
13208,0.32,0.58,1/A,1/A,s,1000
51856,0.184,1.66,–,3/A,s,1000
48924,16.6,1.0,4/A,–,s,1000
16920,5.36,0.139,0,0,s,1000
45193,1.36,0,0,0,s,1000
44315,13.1,0,0,0,s,1000
95625,5.15,4.17,0,0,p,1000
46881,0.122,1.0,4/A,–,t,1
59189,0.46,0.207,0,0,s,1000
13204,1.14,0.68,0,0,t,1
40020,1.0,1.0,0,–,t,1
53953,0.4,2,1/A,1/A,s,1000
10025,0.038,1.0,–,0,s,1000
45524,225,1.0,3/B,–,t,1
59601,0.117,1.44,0,0,s,1000
10071,0.47,0.114,0,0,s,1000
51359,0.42,0.51,0,0,s,1000
99223,0.26,1.0,–,0,p,1000
99571,0.68,1.0,–,0,p,1000
13351,0.43,0.06,0,0,s,1000
98163,6.51,0.212,0,0,p,1000
16940,6.69,0.055,0,0,s,1000
47420,5.38,0,0,0,s,1000
16911,2.13,0.062,0,0,s,1000
13206,0.146,0.28,4/A,4/A,t,1
50010,0.193,0.35,0,0,s,1000
59923,0.013,0.004,0,0,s,1000
51854,0.32,1.66,–,3/A,s,1000
99445,1.0,1.0,0,0,p,1000
18109,0.58,0.032,0,0,s,1000
96317,1.49,0,0,0,p,1000
98640,111,0,0,0,p,1000
51919,0.083,1.15,–,3/A,s,1000
99718,1.42,0,0,0,p,1000
68604,2.03,0,0,0,a,1000
12841,0.79,0,0,0,s,1000
10075,8.63,0.184,0,0,s,1000
47471,3.59,0,0,0,t,1
59660,0.215,0.55,0,0,s,1000
64075,13.8,0,0,0,a,1000
91250,3.67,8.09,–,5/A,p,1000
91343,1,1.69,0,0,p,1000
58757,0.41,1.0,–,0,s,1000
91523,42.6,0,0,0,p,1000
43889,0.98,0,0,0,s,1000
15600,1.42,0.1,0,0,s,1000
11160,0.083,0.16,5/A,2/A,s,1000
41604,10.8,0,0,0,t,1
98257,1.49,0,0,0,p,1000
44428,70.9,0,0,0,a,1000
44194,146,1.0,2/B,–,t,1
58408,0.056,0,0,0,s,1000
41603,19.6,0,0,0,t,1
