classCode,ratePremOps,rateProdCops,hrPremOp,hrProdCOps,code,premiumBase
56653,0.192,0.84,–,3/A,s,1000
43551,104,0,0,0,a,1000
57798,0.027,1.0,–,0,s,1000
92053,0.52,0.71,0,0,p,1000
48600,57,0,0,0,a,1000
91580,6.77,0,0,0,p,1000
10107,3.56,0.26,0,0,s,1000
52150,0.44,1.0,–,0,s,1000
98002,0.97,1.09,0,0,p,1000
13461,0.086,0.17,4/A,4/A,s,1000
56390,0.119,0.59,0,0,s,1000
98805,4.62,1.44,0,0,p,1000
98949,1.08,0.33,0,0,p,1000
18506,0.49,0.007,0,0,s,1000
58056,0.162,0.4,–,2/A,s,1000
52547,0.205,0.049,0,0,s,1000
58532,0.092,1.24,–,2/A,s,1000
41697,0.52,0,0,0,s,1000
15070,0.124,0,0,0,s,1000
97221,1.49,1.35,1/A,–,p,1000
16005,0.053,0.024,0,0,s,1000
41666,2.37,1.0,4/A,–,s,1000
59941,0.08,1.0,–,0,s,1000
12391,0.075,0.055,0,0,s,1000
59984,0.04,0.034,0,0,s,1000
43946,1.0,1.0,0,–,t,1
43626,30.2,0,0,0,s,1000
55918,0.11,1.32,0,0,s,1000
10146,0.67,0.022,0,0,s,1000
53903,1.0,1.0,0,0,s,1000
46773,223,1.0,2/A,–,t,1
15699,0.4,0,0,0,s,1000
12927,0.139,0,0,0,s,1000
10120,41.6,0,0,0,s,1000
55371,0.29,0.082,0,0,s,1000
91302,10.8,4.33,–,3/A,p,1000
98622,1.0,1.0,0,–,p,1000
14279,0.53,0.075,0,0,s,1000
10010,0.16,0.137,0,0,s,1000
56910,0.055,1.0,–,0,s,1000
95305,3.46,0,0,0,p,1000
98751,4.78,0,0,0,p,1000
53565,0.074,0.068,0,0,s,1000
91636,4.93,0,0,0,p,1000
58459,0.086,0,0,0,s,1000
10060,0.26,0.067,0,0,s,1000
59750,0.088,0.106,0,0,s,1000
53147,0.032,1.0,–,0,s,1000
98429,1.28,0,0,0,p,1000
41696,0.75,0,0,0,s,1000
94225,8.87,0,0,0,p,1000
98967,3.6,10.6,0,0,p,1000
57808,0.045,0.67,–,4/A,s,1000
12683,0.52,0.52,–,4/A,s,1000
10027,0.038,0.043,–,3/A,s,1000
51224,0.221,0.96,0,0,s,1000
59725,0.072,0.094,0,0,s,1000
99948,6.9,20.9,0,0,p,1000
53952,0.33,0.067,1/A,1/A,s,1000
60013,46.9,0,0,0,u,1
59738,0.167,0.043,0,0,s,1000
44105,3.32,1.0,2/A,–,o,1000
56567,0.167,1.19,–,3/A,s,1000
44440,58.1,0,0,0,a,1000
68707,16.4,0,0,0,a,1000
55802,0.076,0.016,0,0,s,1000
59723,0.038,0.025,0,0,s,1000
58010,0.136,0.91,–,2/A,s,1000
99084,5,6,4/A,4/A,p,1000
10119,1.0,1.0,0,–,s,1000
92593,32,0,0,0,p,1000
95630,1.0,1.0,0,0,p,1000
68001,84.3,0,0,0,a,1000
56171,0.079,1.0,–,0,s,1000
51666,0.075,0.059,0,0,s,1000
51517,0.081,0,0,0,s,1000
98154,4.36,1.0,–,0,p,1000
58903,0.036,1.0,–,0,s,1000
59782,0.114,0.63,0,0,s,1000
98151,1.0,1.0,0,–,p,1000
98152,3.29,0.56,0,0,p,1000
52432,0.089,0.76,–,1/A,s,1000
96053,2.23,4.87,0,0,p,1000
98162,1.0,1.0,0,0,p,1000
98426,2.55,1.0,–,0,p,1000
13716,0.67,0.113,0,0,s,1000
53905,1.0,1.0,0,0,s,1000
