limit,form,coverage,constructionClass,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
"60,000",Basic,Contents,CC_1_3,1,1,0.972,0.951,1,1
"200,000",Basic,Contents,CC_4_6,1,1,0.783,0.797,1,1
"10,000",Broad,Contents,CC_1_3,1,1,1.366,1.366,1,1
"1,600,000",Special,Contents,CC_4_6,1,0.302,0.302,,,
"1,000,000",Basic,Building,CC_4_6,0.706,0.752,1,1,0.706,0.531
"1,000,000",Broad,Building,CC_4_6,0.688,0.688,1,1,0.688,0.688
"2,750,000",Basic,Building,CC_1_3,0.66,0.644,1,1,0.66,0.54
"100,000",Basic,Contents,CC_4_6,1,1,0.885,0.871,1,1
"700,000",Special,Contents,CC_4_6,1,0.398,0.398,,,
"850,000",Broad,Building,CC_1_3,0.743,0.743,1,1,0.743,0.743
"125,000",Special,Contents,CC_4_6,1,0.688,0.688,,,
"1,400,000",Broad,Contents,CC_1_3,1,1,0.315,0.315,1,1
"2,500,000",Special,Building,CC_1_3,0.573,0.573,1,0.573,0.573,
"250,000",Special,Building,CC_1_3,0.978,0.978,1,0.978,0.978,
"250,000",Broad,Building,CC_4_6,0.978,0.978,1,1,0.978,0.978
"550,000",Basic,Contents,CC_1_3,1,1,0.688,0.688,1,1
"6,500,000",Special,Building,CC_1_3,0.462,0.462,1,0.462,0.462,
"5,500,000",Special,Building,CC_1_3,0.478,0.478,1,0.478,0.478,
"9,000,000",Special,Building,CC_4_6,0.43,0.43,1,0.43,0.43,
"150,000",Broad,Building,CC_4_6,1.086,1.086,1,1,1.086,1.086
"4,000,000",Broad,Contents,CC_1_3,1,1,0.217,0.217,1,1
"125,000",Special,Contents,CC_1_3,1,0.688,0.688,,,
"800,000",Broad,Building,CC_4_6,0.753,0.753,1,1,0.753,0.753
"1,250,000",Broad,Building,CC_1_3,0.66,0.66,1,1,0.66,0.66
"550,000",Broad,Contents,CC_4_6,1,1,0.43,0.43,1,1
-,Basic,Building,CC_1_3,1.172,1.33,1,1,1.172,1.513
"5,000,000",Basic,Contents,CC_1_3,1,1,0.488,0.5,1,1
"40,000",Special,Contents,CC_4_6,1,1,1,,,
"1,300,000",Broad,Contents,CC_4_6,1,1,0.322,0.322,1,1
-,Broad,Building,CC_1_3,1.453,1.453,1,1,1.453,1.453
"750,000",Basic,Contents,CC_1_3,1,1,0.655,0.659,1,1
"3,000,000",Special,Building,CC_4_6,0.552,0.552,1,0.552,0.552,
"4,500,000",Special,Building,CC_1_3,0.505,0.505,1,0.505,0.505,
"80,000",Special,Contents,CC_1_3,1,0.819,0.819,,,
"900,000",Basic,Contents,CC_1_3,1,1,0.637,0.642,1,1
"900,000",Special,Contents,CC_4_6,1,0.367,0.367,,,
"400,000",Special,Contents,CC_4_6,1,0.483,0.483,,,
"750,000",Special,Contents,CC_1_3,1,0.39,0.39,,,
"3,250,000",Broad,Building,CC_4_6,0.542,0.542,1,1,0.542,0.542
"4,500,000",Basic,Building,CC_1_3,0.606,0.593,1,1,0.606,0.475
"600,000",Basic,Building,CC_1_3,0.859,0.844,1,1,0.859,0.798
"150,000",Special,Building,CC_4_6,1.086,1.086,1,1.086,1.086,
"1,250,000",Basic,Building,CC_1_3,0.757,0.728,1,1,0.757,0.661
"400,000",Broad,Building,CC_4_6,0.884,0.884,1,1,0.884,0.884
"200,000",Special,Contents,CC_4_6,1,0.6,0.6,,,
"150,000",Special,Building,CC_1_3,1.086,1.086,1,1.086,1.086,
"6,000,000",Special,Building,CC_4_6,0.47,0.47,1,0.47,0.47,
"50,000",Basic,Building,CC_1_3,1.172,1.238,1,1,1.172,1.513
"1,100,000",Special,Contents,CC_4_6,1,0.339,0.339,,,
"850,000",Special,Contents,CC_1_3,1,0.374,0.374,,,
"30,000",Broad,Contents,CC_4_6,1,1,1.079,1.079,1,1
"400,000",Special,Contents,CC_1_3,1,0.483,0.483,,,
"9,000,000",Special,Building,CC_1_3,0.43,0.43,1,0.43,0.43,
"900,000",Broad,Contents,CC_4_6,1,1,0.367,0.367,1,1
"5,000,000",Special,Contents,CC_1_3,1,0.209,0.209,,,
"1,200,000",Special,Contents,CC_1_3,1,0.33,0.33,,,
"950,000",Special,Contents,CC_4_6,1,0.361,0.361,,,
"150,000",Basic,Building,CC_4_6,1.137,1.065,1,1,1.137,1
"1,000,000",Basic,Building,CC_1_3,0.786,0.752,1,1,0.786,0.7
"1,000,000",Special,Building,CC_4_6,0.688,0.688,1,0.688,0.688,
"550,000",Special,Contents,CC_1_3,1,0.43,0.43,,,
"650,000",Special,Building,CC_1_3,0.788,0.788,1,0.788,0.788,
"425,000",Broad,Building,CC_4_6,0.873,0.873,1,1,0.873,0.873
"1,400,000",Basic,Contents,CC_4_6,1,1,0.556,0.599,1,1
"450,000",Special,Building,CC_1_3,0.862,0.862,1,0.862,0.862,
"100,000",Basic,Building,CC_4_6,1.258,1.131,1,1,1.258,1.134
"350,000",Broad,Building,CC_1_3,0.91,0.91,1,1,0.91,0.91
"350,000",Broad,Building,CC_4_6,0.91,0.91,1,1,0.91,0.91
