classCode,coverage,construction,buildingGroup1,buildingGroup2,contentsGroup1,contentsGroup2,abcGroup1,abcGroup2
0831,Building,"Mas Non-Comb",0.0770,0.077,0.077,0.077,0.077,0.077
0940,ABC,"Mas Non-Comb",0.0000,0,0,0,0,0
0074,Contents,Frame,0.1310,0.131,0.131,0.131,0.131,0.131
0321,Contents,Non-Comb.,0.1960,0.196,0.196,0.196,0.196,0.196
0079,Contents,Non-Comb.,0.1060,0.106,0.106,0.106,0.106,0.106
0701,Building,"Fire Res",0.0960,0.096,0.096,0.096,0.096,0.096
0079,Building,"Mas Non-Comb",0.0770,0.077,0.077,0.077,0.077,0.077
0582,ABC,"Mas Non-Comb",0.1390,0.139,0.139,0.139,0.139,0.139
1052,Building,"Mas Non-Comb",0.0670,0.067,0.067,0.067,0.067,0.067
1213,ABC,"Fire Res",0.0000,0,0,0,0,0
0932,Building,"Fire Res",0.0640,0.064,0.064,0.064,0.064,0.064
0582,Building,"Fire Res",0.0850,0.085,0.085,0.085,0.085,0.085
0541,ABC,Non-Comb.,0.0000,0,0,0,0,0
0333,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0702,Building,"Mas Non-Comb",0.0640,0.064,0.064,0.064,0.064,0.064
0341,Contents,Frame,0.0990,0.099,0.099,0.099,0.099,0.099
1650,Building,"Joisted Masonry",0.1770,0.177,0.177,0.177,0.177,0.177
0343,Contents,"Joisted Masonry",0.0900,0.09,0.09,0.09,0.09,0.09
0332,Building,Non-Comb.,0.0450,0.045,0.045,0.045,0.045,0.045
1213,ABC,Non-Comb.,0.0000,0,0,0,0,0
0746,Building,"Fire Res",0.0570,0.057,0.057,0.057,0.057,0.057
0952,Contents,"Joisted Masonry",0.1760,0.176,0.176,0.176,0.176,0.176
1220,ABC,"Joisted Masonry",0.0000,0,0,0,0,0
0511,ABC,"Fire Res",0.0000,0,0,0,0,0
0702,Building,"Fire Res",0.0590,0.059,0.059,0.059,0.059,0.059
0931,Building,"Mas Non-Comb",0.0480,0.048,0.048,0.048,0.048,0.048
